X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.220887706639104,44.921355163026277,0702823340164,1,LIC353846,BLBrewery,Pending,Off Sale,2019-03-13T22:31:41.000Z,2019,2019-10-01T00:00:00.000Z,VENN BREWING COMPANY,3550 46TH ST E, Off Sale Malt Liquor - Growler,12,Ericsson,44.92136,-93.22089,-10377301.7508,5609148.9517,2019-07-19T18:16:17.000Z
-93.246910488268412,44.967159864057777,2502924320614,2,LIC54106,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,CEDAR RIVERSIDE LIQUOR STORE,617 CEDAR AVE S,,6,Cedar Riverside,44.96716,-93.24691,-10380198.5936,5616352.9597,2019-05-08T18:16:15.000Z
-93.240066433426165,44.991749950875494,1302924340082,3,LIC360439,BLLiqOff,Approved,Off Sale,2018-05-21T08:19:19.000Z,2020,2020-01-01T23:59:59.000Z,OMBIBULOUS,949 HENNEPIN AVE E,,3,Beltrami,44.99175,-93.24007,-10379436.7169,5620222.7783,2019-01-24T18:16:20.000Z
-93.275134517839604,44.976409956152771,2702924120125,4,LIC353673,BLBrewery,Pending,Off Sale,2019-04-16T11:07:49.000Z,2019,2019-10-01T00:00:00.000Z,ROCK BOTTOM BREWERY,800 LASALLE AVE, Off Sale Malt Liquor - Growler,7,Downtown West,44.97641,-93.27513,-10383340.4782,5617808.4808,2019-07-19T18:16:17.000Z
-93.253187764556884,44.9749741980199,2602924120065,5,LIC353682,BLBrewery,Pending,Off Sale,2019-04-01T22:32:10.000Z,2019,2019-10-01T00:00:00.000Z,DAY BLOCK BREWING COMPANY,1105 WASHINGTON AVE S, Off Sale Malt Liquor - Growler,3,Downtown East,44.97497,-93.25319,-10380897.3768,5617582.5459,2019-07-19T18:16:17.000Z
-93.252058773585887,44.994307381930163,1402924440038,6,LIC53973,BLLiqOff,Inactive,Off Sale,2016-04-01T00:00:00.000Z,2017,2017-04-01T00:00:00.000Z,GOPHER LIQUOR STORE,335 MONROE ST NE,,3,St. Anthony East,44.99431,-93.25206,-10380771.6981,5620625.3445,2018-05-25T18:20:11.000Z
-93.27713675840333,44.993630259812143,1502924430015,7,LIC351669,BLBrewery,Approved,Off Sale,2019-04-23T07:50:22.000Z,2020,2020-04-01T23:59:59.000Z,PRYES BREWING,1401 WEST RIVER RD N, Off Sale Malt Liquor - Growler,5,Near - North,44.99363,-93.27714,-10383563.3666,5620518.7567,2019-04-24T18:16:16.000Z
-93.246930781210693,45.021288916722312,0102924330121,8,LIC330966,BLDistill,Approved,Off Sale,2019-07-16T08:13:05.000Z,2020,2020-01-01T00:00:00.000Z,TWIN SPIRITS DISTILLERY,2931 CENTRAL AVE NE," Distillery, Off-Sale Distilled Spirits",1,Audubon Park,45.02129,-93.24693,-10380200.8526,5624873.6133,2019-07-17T18:16:16.000Z
-93.27713675840333,44.993630259812143,1502924430015,9,LIC351669,BLBrewery,Approved,Off Sale,2019-04-23T07:50:22.000Z,2020,2020-04-01T23:59:59.000Z,PRYES BREWING,1401 WEST RIVER RD N, Off Sale Malt Liquor - Growler,5,Near - North,44.99363,-93.27714,-10383563.3666,5620518.7567,2019-04-24T18:16:16.000Z
-93.27183904282991,44.984520881048958,2202924140082,10,LIC54014,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,NORTH LOOP WINE AND SPIRITS,218 WASHINGTON AVE N,,3,North Loop,44.98452,-93.27184,-10382973.6276,5619084.9448,2019-04-24T18:16:16.000Z
-93.275134517839604,44.976409956152771,2702924120125,11,LIC353673,BLBrewery,Pending,Off Sale,2019-04-16T11:07:49.000Z,2019,2019-10-01T00:00:00.000Z,ROCK BOTTOM BREWERY,800 LASALLE AVE, Off Sale Malt Liquor - Growler,7,Downtown West,44.97641,-93.27513,-10383340.4782,5617808.4808,2019-07-19T18:16:17.000Z
-93.274992458260584,44.974786820063379,2702924129002,12,LIC107813,BLLiqOff,Approved,Off Sale,2017-10-06T15:03:30.000Z,2020,2020-04-01T00:00:00.000Z,TARGET T1375,900 NICOLLET MALL,,7,Downtown West,44.97479,-93.27499,-10383324.6642,5617553.06,2019-04-02T18:16:25.000Z
-93.290138266851542,44.979454503053766,2102924440029,13,LIC54002,BLLiqOff,Inactive,Off Sale,2016-01-07T00:00:00.000Z,2018,2018-07-01T00:00:00.000Z,HENRY & SON,811 GLENWOOD AVE #101,,5,Harrison,44.97945,-93.29014,-10385010.6879,5618287.5979,2018-05-25T18:20:11.000Z
-93.272239212644592,45.0236737037037,0302924440058,14,LIC107969,BLBrewery,Approved,Off Sale,2019-04-23T07:50:43.000Z,2020,2020-04-01T00:00:00.000Z,56 BREWING,3055 COLUMBIA AVE, Off Sale Malt Liquor - Growler,1,Marshall Terrace,45.02367,-93.27224,-10383018.1743,5625249.1966,2019-04-24T18:16:16.000Z
-93.25051761669792,44.999562842161652,1402924140004,15,LIC108098,BLBrewery,Approved,Off Sale,2019-07-18T14:01:04.000Z,2020,2020-07-01T23:59:59.000Z,ABLE SEEDHOUSE & BREWERY,1121 QUINCY ST NE,,1,Logan Park,44.99956,-93.25052,-10380600.1373,5621452.6649,2019-07-19T18:16:17.000Z
-93.221083124349363,44.998208790985672,1802923310008,16,LIC107930,BLDistill,Inactive,Off Sale,2018-07-02T14:22:48.000Z,2019,2019-01-01T23:59:59.000Z,WANDER NORTH DISTILLERY,771 HARDING ST NE," Distillery, Off-Sale Distilled Spirits",1,Mid - City Industrial,44.99821,-93.22108,-10377323.5046,5621239.5014,2019-01-01T18:16:12.000Z
-93.281574344278724,44.893112875931699,2202824340058,17,LIC107653,BLBrewery,Approved,Off Sale,2019-06-24T12:16:59.000Z,2020,2020-01-01T00:00:00.000Z,WILD MIND ARTISAN ALES,6031 PILLSBURY AVE,,11,Windom,44.89311,-93.28157,-10384057.3564,5604709.9627,2019-06-25T18:16:21.000Z
-93.248726750618857,45.005178324844181,1402924110004,18,LIC331137,BLDistill,Approved,Off Sale,2019-06-18T15:31:48.000Z,2020,2020-01-01T23:59:00.000Z,Tattersall Distilling Company,1620 CENTRAL AVE NE #150,,1,Logan Park,45.00518,-93.24873,-10380400.779,5622336.7443,2019-06-19T18:16:18.000Z
-93.281574344278724,44.893112875931699,2202824340058,19,LIC330931,BLBrewery,Approved,Off Sale,2019-06-24T12:16:59.000Z,2020,2020-01-01T23:59:00.000Z,WILD MIND ARTISAN ALES,6031 PILLSBURY AVE, Off Sale Malt Liquor - Growler,11,Windom,44.89311,-93.28157,-10384057.3564,5604709.9627,2019-06-25T18:16:21.000Z
-93.245067712142344,45.000955025092189,1302924230004,20,LIC337763,BLBrewery,Approved,Off Sale,2019-04-02T07:39:37.000Z,2020,2020-04-01T00:00:00.000Z,BAUHAUS BREW LABS,1315 TYLER ST NE,,1,Northeast Park,45.00096,-93.24507,-10379993.4567,5621671.8366,2019-04-02T18:16:25.000Z
-93.272549186214846,44.980770780146834,2202924410087,21,LIC337770,BLBrewery,Approved,Off Sale,2019-04-02T07:39:59.000Z,2020,2020-04-01T00:00:00.000Z,CLOCKWERKS BREWING,25 4TH ST N #100,,3,Downtown West,44.98077,-93.27255,-10383052.6804,5618494.7469,2019-04-02T18:16:25.000Z
-93.288906916447218,44.97330092224658,2802924140002,22,LIC337766,BLBrewery,Approved,Off Sale,2019-04-23T07:50:18.000Z,2020,2020-04-01T00:00:00.000Z,SISYPHUS BREWERY,712 ONTARIO AVE #100,,7,Lowry Hill,44.9733,-93.28891,-10384873.6146,5617319.2417,2019-04-24T18:16:16.000Z
-93.312822238741887,44.979046032202497,2002924440056,23,LIC344403,BLBrewery,Approved,Off Sale,2019-06-27T11:28:30.000Z,2020,2020-01-01T23:59:00.000Z,UTEPILS BREWING CO,225 THOMAS AVE N, Off Sale Malt Liquor - Growler,5,Harrison,44.97905,-93.31282,-10387535.8561,5618223.3158,2019-06-28T18:17:01.000Z
0,0,,24,LIC53936,BLLiqOff,Approved,Off Sale,2016-08-19T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,WHOLE FOODS MARKET,222 HENNEPIN AVE,,,,0,0,0,0,2019-07-19T18:16:17.000Z
0,0,,25,LIC54120,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,MGM WINE & SPIRITS,3058 EXCELSIOR BLVD,,,,0,0,0,0,2019-04-02T18:16:25.000Z
-93.233751610253776,44.948129140876041,0102824120097,26,LIC53977,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,MINNEHAHA LAKE WINE & SPIRITS,2613 LAKE ST E,,2,Longfellow,44.94813,-93.23375,-10378733.754,5613359.1741,2019-07-19T18:16:17.000Z
-93.261672674910557,44.948071324954675,0202824210076,27,LIC54101,BLLiqOff,Approved,Off Sale,2016-03-18T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,CHICAGO LAKE LIQUORS,825 LAKE ST E,,9,Powderhorn Park,44.94807,-93.26167,-10381841.9127,5613350.0804,2019-04-02T18:16:25.000Z
-93.288469671364126,45.031045254136046,0402924140029,28,LIC54030,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,CAMDEN LIQUORS,4155 LYNDALE AVE N,,4,Webber - Camden,45.03105,-93.28847,-10384824.9407,5626410.2509,2019-07-19T18:16:17.000Z
-93.223560376967356,44.927643358713269,0702823230066,29,LIC53908,BLLiqOff,Approved,Off Sale,2016-01-07T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,Elevated Beer Wine & Spirits,4135 HIAWATHA AVE,,12,Hiawatha,44.92764,-93.22356,-10377599.2711,5610137.5975,2019-06-26T18:16:16.000Z
-93.328467717243356,44.922910238051855,0802824330164,30,LIC54043,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,FRANCE 44 WINES/SPIRITS,4351 FRANCE AVE S,,13,Linden Hills,44.92291,-93.32847,-10389277.5028,5609393.4344,2019-07-19T18:16:17.000Z
-93.308616932944446,45.01379001729056,0802924140158,31,LIC53951,BLLiqOff,Inactive,Off Sale,2016-01-07T00:00:00.000Z,2017,2017-10-01T00:00:00.000Z,UNION LIQUOR STORE,3219 PENN AVE N,,4,Cleveland,45.01379,-93.30862,-10387067.7236,5623692.7035,2018-05-25T18:20:11.000Z
-93.308616932944446,45.01379001729056,0802924140158,32,LIC53953,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,UNION LIQUOR STORE,3219 PENN AVE N,,4,Cleveland,45.01379,-93.30862,-10387067.7236,5623692.7035,2019-07-19T18:16:17.000Z
-93.271266381209344,45.012923187074371,1002924410144,33,LIC53942,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,RIVER LIQUOR STORE,2435 MARSHALL ST NE,,3,Bottineau,45.01292,-93.27127,-10382909.8792,5623556.207,2019-07-19T18:16:17.000Z
-93.2478689457608,45.014601644737112,1102924140233,34,LIC54096,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,CENTRAL AVENUE LIQUOR,2538 CENTRAL AVE NE,,1,Holland,45.0146,-93.24787,-10380305.2886,5623820.5093,2019-07-19T18:16:17.000Z
-93.262759392960902,45.010307823270963,1102924320142,35,LIC54092,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,B & G  WINE & LIQUOR,2201 UNIVERSITY AVE NE,,1,Holland,45.01031,-93.26276,-10381962.8856,5623144.388,2019-07-19T18:16:17.000Z
-93.266617109133875,45.0129538681593,1102924320162,36,LIC54107,BLLiqOff,Inactive,Off Sale,2016-10-04T00:00:00.000Z,2018,2018-10-01T00:00:00.000Z,MOURADO'S LIQUORS,2426 2ND ST NE,,3,Bottineau,45.01295,-93.26662,-10382392.3246,5623561.0382,2018-07-19T18:16:14.000Z
-93.227565263235007,45.006240908996595,1202924440177,37,LIC53926,BLLiqOff,Approved,Off Sale,2016-03-18T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,STINSON WINE & SPIRITS,2315 18TH AVE NE,,1,Windom Park,45.00624,-93.22757,-10378045.093,5622504.0431,2019-03-19T18:16:15.000Z
-93.246902635196193,44.917563147708229,1302824220037,38,LIC54012,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,CORK DORK WINE CO,4703 CEDAR AVE S,,12,Ericsson,44.91756,-93.2469,-10380197.7194,5608552.8139,2019-01-24T18:16:20.000Z
-93.262381587603556,44.915883189953668,1402824240024,39,LIC54064,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,KEN AND NORM'S LIQUORS,4801 CHICAGO AVE,,11,Northrop,44.91588,-93.26238,-10381920.8285,5608288.7225,2019-07-19T18:16:17.000Z
-93.266575401253561,45.004879228698485,1402924220036,40,LIC53920,BLLiqOff,Approved,Off Sale,2016-10-04T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,SENTYRZ LIQUOR & SUPERMARKET,1612 2ND ST NE,,3,Sheridan,45.00488,-93.26658,-10382387.6817,5622289.6536,2019-06-26T18:16:16.000Z
-93.288717624348848,44.906538306069962,1602824440132,41,LIC54076,BLLiqOff,Inactive,Off Sale,2016-11-18T00:00:00.000Z,2017,2017-04-01T00:00:00.000Z,SOUTH LYNDALE LIQUORS,5300 LYNDALE AVE S,,13,Lynnhurst,44.90654,-93.28872,-10384852.5427,5606819.8363,2017-04-06T18:16:10.000Z
-93.288717624348848,44.906538306069962,1602824440132,42,LIC54077,BLLiqOff,Approved,Off Sale,2016-03-18T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,SOUTH LYNDALE LIQUORS,5300 LYNDALE AVE S,,13,Lynnhurst,44.90654,-93.28872,-10384852.5427,5606819.8363,2019-04-24T18:16:16.000Z
-93.288437739849044,45.000072279962289,1602924140207,43,LIC53894,BLLiqOff,Approved,Off Sale,2016-02-26T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,MERWIN LIQUORS,700 WEST BROADWAY,,5,Hawthorne,45.00007,-93.28844,-10384821.3861,5621532.8652,2019-01-24T18:16:20.000Z
-93.288437739849044,45.000072279962289,1602924140207,44,LIC53896,BLLiqOff,Inactive,Off Sale,2016-02-26T00:00:00.000Z,2017,2017-01-01T00:00:00.000Z,MERWIN LIQUORS,700 WEST BROADWAY,,5,Hawthorne,45.00007,-93.28844,-10384821.3861,5621532.8652,2018-05-25T18:20:11.000Z
-93.294456737018578,44.992279944986748,1602924430113,45,LIC54081,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,MICKYS LIQUOR STORE,1104 PLYMOUTH AVE N,,5,Near - North,44.99228,-93.29446,-10385491.4178,5620306.2034,2019-04-24T18:16:16.000Z
-93.308671375342243,45.004894234132578,1702924110252,46,LIC54020,BLLiqOff,Approved,Off Sale,2016-10-04T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,BROADWAY LIQUOR OUTLET,2220 WEST BROADWAY,,5,Jordan,45.00489,-93.30867,-10387073.7841,5622292.0161,2019-06-26T18:16:16.000Z
-93.215142321033724,44.919416468896692,1802823120046,47,LIC54089,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,Falls Liquor,4604 MINNEHAHA AVE,,12,Hiawatha,44.91942,-93.21514,-10376662.1774,5608844.1672,2019-03-19T18:16:15.000Z
-93.223320390242577,44.911971718824724,1802823320147,48,LIC53911,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,MCDONALDS LIQUOR STORE,5010 34TH AVE S,,12,Keewaydin,44.91197,-93.22332,-10377572.5559,5607673.8644,2019-07-19T18:16:17.000Z
-93.278547393673776,44.981341221891078,2202924310066,49,LIC54037,BLLiqOff,Pending,Off Sale,2016-10-21T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,TARGET FIELD,353 5TH ST N,,3,North Loop,44.98134,-93.27855,-10383720.3978,5618584.5216,2019-07-19T18:16:17.000Z
-93.274398203835517,44.977135950839134,2202924430086,50,LIC54015,BLLiqOff,Inactive,Off Sale,2016-10-04T00:00:00.000Z,2018,2018-10-01T13:30:00.000Z,TEAM LIQUOR WINE & SPIRITS,19 7TH ST S,,7,Downtown West,44.97714,-93.2744,-10383258.5121,5617922.7275,2018-05-25T18:20:11.000Z
-93.276122242443947,44.97951302572762,2202924430142,51,LIC54053,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,LEVY RESTAURANTS,600 1ST AVE N,,3,Downtown West,44.97951,-93.27612,-10383450.4312,5618296.8078,2019-01-24T18:16:20.000Z
-93.256126878791648,44.988463165275675,2302924120110,52,LIC53900,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,SURDYK'S LIQUOR,303 HENNEPIN AVE E,,3,Nicollet Island - East Bank,44.98846,-93.25613,-10381224.5575,5619705.4305,2019-01-24T18:16:20.000Z
-93.23436598065301,44.980899659923885,2402924420015,53,LIC54091,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,DINKYTOWN WINE & SPIRITS,1412 5TH ST SE,,3,Marcy Holmes,44.9809,-93.23437,-10378802.1454,5618515.0296,2019-07-19T18:16:17.000Z
-93.23344086233574,44.963012152259545,2502924430220,54,LIC54005,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,ZIPPS LIQUORS,2618 FRANKLIN AVE E,,6,Seward,44.96301,-93.23344,-10378699.1617,5615700.3849,2019-07-19T18:16:17.000Z
-93.25382920928044,44.976241542719102,2602924120142,55,LIC54117,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,1010 WASHINGTON WINE & SPIRITS,1010 WASHINGTON AVE S,,3,Downtown East,44.97624,-93.25383,-10380968.7821,5617781.9785,2019-01-24T18:16:20.000Z
-93.269965940478187,44.976865982752429,2702924119002,56,LIC54112,BLLiqOff,Inactive,Off Sale,2016-10-04T00:00:00.000Z,2017,2017-10-01T00:00:00.000Z,SKYWAY WINE & SPIRITS,601 MARQUETTE AVE #218,,7,Downtown West,44.97686,-93.26995,-10382765.1148,5617880.2436,2019-01-08T18:16:25.000Z
-93.277571366032731,44.974299538806292,2702924129003,57,LIC54024,BLLiqOff,Approved,Off Sale,2015-12-11T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,HASKELL'S,81 9TH ST S #130,,7,Downtown West,44.9743,-93.27757,-10383611.7469,5617476.3816,2019-03-01T18:16:59.000Z
-93.280268166906168,44.973907229977918,2702924210088,58,LIC54035,BLLiqOff,Approved,Off Sale,2016-03-18T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,LUNDS & BYERLYS WINES & SPIRITS,1208 HARMON PL,,7,Loring Park,44.97391,-93.28027,-10383911.9534,5617414.6485,2019-04-02T18:16:25.000Z
-93.278264301290079,44.970859859142237,2702924241543,59,LIC53981,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,HYATT REGENCY MINNEAPOLIS,1300 NICOLLET MALL,,7,Loring Park,44.97086,-93.27826,-10383688.8841,5616935.1334,2019-01-24T18:16:20.000Z
-93.279928733984477,44.969596696856428,2702924310186,60,LIC54103,BLLiqOff,Approved,Off Sale,2016-01-07T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,GREENWAY LIQUOR,105 GRANT ST W,,7,Loring Park,44.9696,-93.27993,-10383874.1679,5616736.3776,2019-07-19T18:16:17.000Z
-93.29116510320506,44.96346382214319,2802924440038,61,LIC53993,BLLiqOff,Approved,Off Sale,2016-01-07T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,LOWRY HILL LIQUORS,1922 HENNEPIN AVE #1ST FLOOR,,7,Lowry Hill,44.96346,-93.29117,-10385124.9948,5615771.4455,2019-07-19T18:16:17.000Z
-93.225266730442797,44.97380532587632,3002923220010,62,LIC53917,BLLiqOff,Approved,Off Sale,2016-03-18T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,VALU LIQUORS,901 WASHINGTON AVE SE,,2,Prospect Park - East River Road,44.97381,-93.22527,-10377789.2215,5617398.6131,2019-03-19T18:16:15.000Z
-93.215644172952025,44.948626558080775,3102923430068,63,LIC53991,BLLiqOff,Pending,Off Sale,2016-10-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,EAST LAKE LIQUOR & DELI,3916 LAKE ST E,,2,Cooper,44.94863,-93.21564,-10376718.0433,5613437.4118,2019-07-19T18:16:17.000Z
-93.288447465908632,44.961159748990248,3302924110026,64,LIC53974,BLLiqOff,Pending,Off Sale,2016-11-04T00:00:00.000Z,2019,2019-10-01T00:00:00.000Z,HUM'S LIQUOR,2126 LYNDALE AVE S,,10,Lowry Hill East,44.96116,-93.28845,-10384822.4688,5615408.9547,2019-07-19T18:16:17.000Z
-93.288447465908632,44.961159748990248,3302924110026,65,LIC53975,BLLiqOff,Inactive,Off Sale,2016-01-07T00:00:00.000Z,2017,2017-07-01T00:00:00.000Z,HUM'S LIQUOR STORE,2126 LYNDALE AVE S,,10,Lowry Hill East,44.96116,-93.28845,-10384822.4688,5615408.9547,2018-05-25T18:20:11.000Z
-93.29607603565816,44.957670816285379,3302924130065,66,LIC53994,BLLiqOff,Approved,Off Sale,2016-01-15T00:00:00.000Z,2020,2020-01-01T00:00:00.000Z,KOWALSKI'S  UPTOWN MARKET,2440 HENNEPIN AVE,,7,East Isles,44.95767,-93.29608,-10385671.6773,5614860.0823,2019-01-24T18:16:20.000Z
-93.294712914978049,44.948598187289413,3302924430106,67,LIC54027,BLLiqOff,Approved,Off Sale,2016-01-07T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,HENNEPIN LAKE LIQUORS,1200 LAKE ST W,,10,Lowry Hill East,44.9486,-93.29471,-10385519.9354,5613432.9494,2019-06-26T18:16:16.000Z
-93.27829697301695,44.962176467218931,3402924210096,68,LIC54007,BLLiqOff,Approved,Off Sale,2016-01-07T00:00:00.000Z,2020,2020-07-01T00:00:00.000Z,FRANKLIN NICOLLET LIQUOR STORE,2012 NICOLLET AVE #1ST FLOOR,,10,Whittier,44.96218,-93.2783,-10383692.5211,5615568.9092,2019-07-19T18:16:17.000Z
